date,strategy,direction,atm,entry,vix,move_pct,pnl_pts,pnl_inr,win
2022-11-01,S4_MOMENTUM,BULL,18150,204.03,16.1299991607666,0.74,-3.0,-75.0,False
2022-11-02,S4_MOMENTUM,BEAR,18100,178.37,16.65999984741211,0.34,3.02,76.0,True
2022-11-04,S4_MOMENTUM,BULL,18100,205.72,15.65999984741211,0.36,8.0,200.0,True
2022-11-07,S4_MOMENTUM,BULL,18200,199.65,15.59000015258789,0.47,-3.0,-75.0,False
2022-11-10,S4_MOMENTUM,BEAR,18050,163.29,15.56999969482422,0.71,-3.0,-75.0,False
2022-11-11,S4_MOMENTUM,BULL,18350,181.96,14.40999984741211,1.78,-2.05,-51.0,False
2022-11-15,S4_MOMENTUM,BULL,18400,187.87,14.640000343322754,0.41,0.62,16.0,True
2022-11-17,S4_MOMENTUM,BEAR,18350,150.62,14.880000114440918,0.36,3.62,90.0,True
2022-11-21,S4_MOMENTUM,BEAR,18150,141.44,14.800000190734863,0.81,-3.0,-75.0,False
2022-11-22,S4_MOMENTUM,BULL,18250,169.4,13.84000015258789,0.46,2.31,58.0,True
2022-11-24,S4_MOMENTUM,BULL,18500,162.66,13.479999542236328,1.19,2.87,72.0,True
2022-11-30,S4_MOMENTUM,BULL,18750,181.52,13.8100004196167,0.75,8.0,200.0,True
2022-12-02,S4_MOMENTUM,BEAR,18700,132.08,13.449999809265137,0.62,-0.5,-12.0,False
2022-12-06,S4_MOMENTUM,BEAR,18650,141.66,14.039999961853027,0.31,8.0,200.0,True
2022-12-07,S4_MOMENTUM,BEAR,18550,134.91,14.079999923706056,0.44,-3.0,-75.0,False
2022-12-09,S4_MOMENTUM,BEAR,18500,130.37,13.479999542236328,0.61,-0.06,-2.0,False
2022-12-13,S4_MOMENTUM,BULL,18600,164.67,12.880000114440918,0.6,8.0,200.0,True
2022-12-15,S4_MOMENTUM,BEAR,18400,126.7,13.729999542236328,1.32,8.0,200.0,True
